cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,405,31,17,12,0,2,0
A2,612,3594,15,22,0,0,0
A3,63239,31418,23203,22572,150,2508,2603
A4,145127,68226,56778,63641,313,2885,983
A5,87477,29434,22460,26084,114,2333,468
A6,75013,21649,23387,18228,170,2367,2474
A7,36528,25825,16872,19719,71,2989,354
A8,62415,25102,25409,18091,153,2691,196
A9,24653,16714,11156,9345,127,2641,174
A10,40606,16395,17023,17131,75,2242,665
A11,55236,25983,27790,17278,285,2414,1411
A12,45046,27264,17863,17931,154,2758,1357
A13,16396,10895,9418,7181,91,2784,292
A14,50720,23557,21712,19128,99,2744,261
A15,24048,8788,9025,7909,53,2896,26
A16,62447,22346,20753,28052,161,3172,202
A17,24938,27924,13156,9771,112,3934,1595
A18,53595,22976,19536,21132,123,2773,527
A19,35918,19597,16448,12786,151,3485,1498
A20,57569,22370,22449,27285,128,3880,2968
A21,25272,8388,10028,9217,62,2392,47
A22,85626,25335,19085,19209,126,2055,1112
A23,12589,5183,5725,3890,14,620,300
A24,22686,9999,4358,2724,67,345,166
B1,114301,54007,41825,38419,315,1849,8338
B2,32435,11848,15297,10959,94,2709,326
B3,88212,57145,17701,16151,110,2469,350
B4,40141,14074,21746,16180,195,3488,1921
B5,42734,18937,16083,21828,151,2188,1737
B6,10978,5472,612,387,5,31,93
B7,28068,22649,13431,12973,91,2540,151
B8,17616,20937,11922,7519,152,2838,97
B9,35201,33825,13468,12203,57,3676,271
B10,18954,8987,6871,5837,61,2258,1132
B11,41402,21163,15498,17359,139,2949,365
B12,13747,8529,6561,5071,73,3007,617
B13,48548,15778,11741,13556,42,3226,92
B14,18343,12769,9090,6518,65,2591,223
B15,22835,17510,11121,9540,51,3229,547
B16,18056,15559,7343,5741,61,2295,163
B17,63705,38705,29494,23115,221,3323,471
B18,26704,6778,14112,9976,111,2570,180
B19,49613,19532,23740,18325,158,2999,646
B20,41663,36194,16685,14236,112,2525,652
B21,51963,11896,21120,10611,134,2488,769
B22,40271,14828,17903,11775,114,1880,554
B23,25108,12103,10280,8187,63,1689,387
B24,70611,13731,20016,11611,103,2108,683
C1,238217,76119,123576,43357,424,3988,4727
C2,62191,23725,55413,17197,88,3061,649
C3,68018,19890,67384,22966,151,2881,3592
C4,92581,29281,76865,33973,519,2623,7302
C5,37991,6583,604,416,4,29,39
C6,53439,18396,46314,9734,124,3520,1805
C7,48734,10755,48924,11167,67,4017,1663
C8,54603,17740,59447,13685,77,3152,1127
C9,58486,16910,45250,14725,177,2954,1215
C10,61963,16514,39280,11845,127,2715,1807
C11,65064,17103,54681,19282,277,3088,626
C12,59499,15434,63207,19737,58,3461,4458
C13,47292,13173,33763,12740,286,2805,2234
C14,55035,11917,42568,15475,107,3136,1736
C15,85592,33286,75183,27448,554,3046,12770
C16,92418,32340,57493,17660,270,2737,2166
C17,56367,17347,54240,16635,286,3018,1906
C18,39866,23000,36381,13094,110,2810,1308
C19,101799,31952,72955,31089,196,3384,2527
C20,90097,36259,75098,26611,246,4218,4232
C21,54461,26529,34346,16390,204,3339,2449
C22,36580,33940,25412,10128,54,2209,1066
C23,46731,24949,36108,12077,139,2749,1224
C24,170830,53446,77944,34171,341,2782,7319
D1,328737,97216,153320,52948,479,3801,12174
D2,33383,26382,27582,6523,63,2267,1110
D3,52519,23377,33124,13108,118,2694,2652
D4,60412,21596,56974,16765,306,2405,1263
D5,82946,19560,63709,21828,357,2827,3811
D6,96062,28261,64308,25087,582,2812,10132
D7,49646,25533,54496,11318,63,2715,1290
D8,48299,21642,48184,9851,84,3619,18
D9,28569,6876,26599,7036,40,2234,608
D10,41666,11288,40646,12700,119,1808,1976
D11,30885,9212,30813,9137,51,1937,1217
D12,35960,21644,34807,8063,91,2752,515
D13,41825,15386,36314,8427,67,1774,1260
D14,61698,19611,44860,18064,268,2314,577
D15,40451,19664,40001,10702,81,2011,873
D16,70426,18903,50436,14763,220,2374,240
D17,33981,8990,33899,6393,27,2608,646
D18,53768,14203,42867,14229,241,2800,1849
D19,38426,10283,28841,12160,127,1533,1240
D20,38337,14663,34310,8879,116,1967,1365
D21,65986,15981,60017,16852,147,3832,5320
D22,64019,23564,54793,12583,248,2915,3136
D23,39281,17706,26796,7962,105,1723,553
D24,27290,18648,16140,4808,48,1254,1158
E1,116157,39400,67553,24217,175,2650,1169
E2,49208,15549,43863,9234,98,3241,2220
E3,39161,8217,39318,9107,122,2708,1866
E4,50917,19488,45563,11643,64,2941,123
E5,38874,8230,40847,10841,85,2922,1658
E6,106791,27624,68950,30318,509,2372,5720
E7,64497,14801,51133,15424,131,2805,54
E8,55656,18232,43342,10142,51,2622,1864
E9,47829,10982,43268,8897,127,2987,122
E10,48848,13758,45105,11919,130,2619,1686
E11,59057,17004,52490,11194,75,2872,25
E12,60427,18248,52537,17337,162,3164,432
E13,83368,17483,60194,16611,142,3697,5790
E14,42172,13770,39005,11966,100,3332,1179
E15,172585,65610,132723,44184,1032,2739,21843
E16,65695,14469,42694,15585,176,2353,3021
E17,63376,18422,45478,15436,281,3407,3707
E18,121344,40589,96436,38245,532,2547,11896
E19,95900,37055,72318,19206,247,3831,2750
E20,71110,8728,29623,10829,104,1763,1605
E21,120057,42370,68273,36518,258,3467,1379
E22,71356,23988,64267,19201,218,1768,3323
E23,45675,16481,43705,11823,81,3429,2290
E24,74130,21430,46707,15184,174,3031,4648
F1,387289,113424,140021,61993,346,2965,10918
F2,43254,27841,26551,7493,77,1818,1039
F3,79285,28919,33894,14648,119,1513,778
F4,63644,26761,47319,16586,156,2103,3103
F5,93859,30957,67248,31045,443,2910,12489
F6,69683,6283,39673,5493,25,2412,504
F7,79426,19645,46778,18799,214,2330,171
F8,50247,16762,41725,16605,217,2110,251
F9,68684,27282,45649,17641,249,2477,4796
F10,71536,29039,56378,20731,398,2329,3330
F11,95834,38240,58899,33299,357,2479,1743
F12,53932,37529,50445,5834,51,2096,709
F13,51954,19374,41727,13178,132,2790,5417
F14,53211,8010,33895,7852,96,1927,80
F15,51154,14701,45575,12336,49,3265,2460
F16,51821,16245,45975,15276,185,2266,743
F17,58307,19631,50528,15744,70,2383,3306
F18,49929,11362,34978,7905,67,3157,1642
F19,119555,34125,85116,34394,393,2568,12530
F20,47724,31089,36429,13367,161,2114,2477
F21,77212,24680,49289,21937,312,2196,4489
F22,40893,13010,28322,9094,147,1361,736
F23,28734,15800,28624,6334,14,2226,1382
F24,29129,10619,29941,7691,42,2363,478
G1,50383,23577,24851,18814,118,2888,99
G2,24532,10282,11793,9551,96,3399,495
G3,2489,7349,180,148,0,37,1
G4,17445,12576,8925,7477,42,3410,92
G5,1058,18020,44,3,0,2,9
G6,49062,19460,24019,14303,122,2796,788
G7,94787,33056,44059,23727,318,2759,117
G8,23362,11840,11889,9438,79,2474,24
G9,37464,23804,21138,15312,140,2995,682
G10,25742,22298,13689,10749,114,3714,108
G11,32536,9604,16807,11868,97,2222,231
G12,24288,11320,12665,8957,65,3109,385
G13,44995,25106,30757,16272,257,2216,2261
G14,79907,29843,36851,25201,367,2763,376
G15,157022,18997,25953,14417,236,2523,80
G16,73160,33201,45339,10257,257,3322,442
G17,29587,20186,22785,10667,179,2458,49
G18,46555,21557,25644,16427,229,4250,84
G19,48777,13744,26870,16565,201,2760,25
G20,53471,21628,35024,24892,320,2972,234
G21,46670,20335,26305,13358,282,2590,117
G22,54006,26912,38138,17906,300,3207,58
G23,18402,8064,11614,8092,205,2642,53
G24,32205,22876,14305,13377,81,3396,39
H1,68702,15670,20029,18137,120,2815,242
H2,19206,13927,8853,7834,137,2056,18
H3,26556,8897,12247,8886,134,2552,20
H4,60506,18256,24141,15950,170,2950,512
H5,30062,18574,18884,8430,132,3046,11
H6,25719,18934,10711,9928,65,3351,373
